congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
96,House,6845,51,2,KY,100,0,1,"NATCHER, William Huston",N000009,1909,1994.0,-0.288,0.575,-365.7379,0.71,1067,178,,-0.198,0.398
96,House,7343,51,7,KY,100,0,1,"PERKINS, Carl Dewey",P000230,1912,1984.0,-0.343,0.332,-383.67389,0.688,1025,174,,-0.238,0.232
96,House,10626,51,4,KY,200,0,1,"SNYDER, Marion Gene",S000669,1928,2007.0,0.26,0.298,-309.31511,0.742,1037,132,,0.278,0.304
96,House,10710,51,5,KY,200,0,1,"CARTER, Tim Lee",C000201,1910,1987.0,0.08,0.147,-373.60559,0.672,941,155,,0.067,-0.003
96,House,13024,51,3,KY,100,0,1,"MAZZOLI, Romano Louis",M000291,1932,,-0.186,-0.016,-394.38316,0.687,1052,194,,-0.185,0.005
96,House,14237,51,1,KY,100,0,1,"HUBBARD, Carroll, Jr.",H000878,1937,,-0.038,0.476,-363.4405,0.687,969,169,,-0.043,0.526
96,House,14635,51,6,KY,200,0,1,"HOPKINS, Larry Jones",H000776,1933,,0.347,-0.242,-309.29337,0.743,1043,129,,0.287,-0.147
96,House,10602,45,8,LA,100,0,1,"LONG, Gillis William",L000417,1923,1985.0,-0.368,0.604,-253.29418,0.766,951,103,,-0.398,0.604
96,House,13056,45,7,LA,100,0,1,"BREAUX, John Berlinger",B000780,1944,,-0.123,0.702,-352.11365,0.689,947,170,,-0.074,0.524
96,House,14060,45,3,LA,200,0,1,"TREEN, David Conner",T000362,1928,2009.0,0.34,0.189,-91.00883,0.656,216,37,,0.219,-0.015
96,House,14067,45,2,LA,100,0,1,"BOGGS, Corinne Claiborne (Lindy)",B000592,1916,2013.0,-0.359,0.501,-244.19838,0.767,922,100,,-0.392,0.509
96,House,14259,45,6,LA,200,0,1,"MOORE, William Henson, III",M000923,1939,,0.24,0.144,-332.46122,0.727,1041,158,,0.244,-0.03
96,House,14427,45,5,LA,100,0,1,"HUCKABY, Thomas Jerald",H000901,1941,,-0.009,0.507,-330.87121,0.71,968,154,,-0.037,0.539
96,House,14469,45,1,LA,200,0,1,"LIVINGSTON, Robert Linlithgow, Jr.",L000371,1943,,0.326,0.109,-322.42483,0.72,983,158,,0.251,0.08
96,House,14640,45,4,LA,100,0,1,"LEACH, Anthony Claude, Jr.",L000167,1934,,-0.051,0.685,-264.9727,0.711,778,124,,-0.051,0.676
96,House,14679,45,3,LA,100,2,2,"TAUZIN, Wilbert Joseph (Billy)",T000058,1943,,0.03,0.568,-101.00534,0.677,259,49,,-0.118,0.379
96,House,14218,2,1,ME,200,0,1,"EMERY, David Farnham",E000175,1948,,0.155,-0.39,-306.32103,0.732,984,134,,0.191,-0.372
96,House,14661,2,2,ME,200,0,1,"SNOWE, Olympia Jean",S000663,1947,,0.091,-0.548,-367.626,0.7,1032,173,,0.159,-0.466
96,House,10601,52,2,MD,100,0,1,"LONG, Clarence Dickinson",L000413,1908,1994.0,-0.274,0.098,-468.89001,0.637,1038,221,,-0.23,-0.011
